image,comments,name,work,current_work,web_page,papers_link,html_file
/images/successstories/KaiPreslerMarshall.jpg,,Kai Presler-Marshall,Lecturer,Lecturer of Computer Science at Bowdoin College.,https://kpresler.github.io/,https://dblp.org/pid/242/2099.html,john_doe
/images/successstories/GinaRBai.jpg,,Gina R. Bai,Teaching Assistant Professor,Teaching Assistant Professor at Vanderbilt University.,https://ginabai.github.io/,https://dblp.org/pid/237/8508.html,jane_smith
/images/successstories/JustinSmith.jpg,,Justin Smith,Assistant ProfessorAssistant,Assistant Professor of Computer Science at Lafayette College.,https://jssmith1.github.io/,https://dblp.org/pid/75/2200.html,jane_smith
/images/successstories/DenaeFordRobinson.jpg,,Denae Ford Robinson, Senior Researcher,Senior Researcher in the Software Analysis and Intelligence (SAINTES) Team  (now a part of the Human Centered AI Experiences Group- HCAIX) at Microsoft Research in Redmond WA USA, http://denaeford.me/ , https://dblp.uni-trier.de/pid/166/1017.html,
/images/successstories/BrittanyIJohnson.jpg,,Brittany Johnson-Matthews, Assistant Professor, Assistant Professor in the Department of Computer Science at George Mason University,https://cs.gmu.edu/~johnsonb/index.html,https://dblp.org/pid/116/6719.html
