Authors,Title,Journal/Booktitle,Volume/Pages,DOI,Type
"Jabier Martinez, Wesley K. G. Assunção, Daniele Wolfart, Klaus Schmid, Apostolos Ampatzoglou","TD4ViS 2022: 1st International Workshop on Technical Debt for
                Variability-Intensive Systems.",SPLC (A),2022: 267,https://doi.org/10.1145/3546932.3547017,inproceedings
"Michael Ratzenböck, Paul Grünbacher, Wesley K. G. Assunção, Alexander Egyed, Lukas Linsbauer",Refactoring Product Lines by Replaying Version Histories.,VaMoS,2022: 8:1-8:10,https://doi.org/10.1145/3510466.3510484,inproceedings
"Daniel Coutinho, Anderson G. Uchôa, Caio Barbosa, Vinícius Soares, Alessandro F. Garcia 0001, Marcelo Schots, Juliana Alves Pereira, Wesley K. G. Assunção","On the Influential Interactive Factors on Degrees of Design Decay: A
                Multi-Project Study.",SANER,2022: 753-764,https://doi.org/10.1109/SANER53432.2022.00093,inproceedings
"Daniele Wolfart, Wesley K. G. Assunção, Ivonei F. da Silva, Diogo C. P. Domingos, Ederson Schmeing, Guilherme L. Donin Villaca, Diogo Do Nascimento Paza",Modernizing Legacy Systems with Microservices: A Roadmap.,EASE,2021: 149-159,https://doi.org/10.1145/3463274.3463334,inproceedings
"Gabriela Karoline Michelon, Wesley K. G. Assunção, David Obermann, Lukas Linsbauer, Paul Grünbacher, Alexander Egyed","The life cycle of features in highly-configurable software systems evolving in
                space and time.",GPCE,2021: 2-15,https://doi.org/10.1145/3486609.3487195,inproceedings
"Ana Carla Bibiano, Wesley K. G. Assunção, Daniel Coutinho, Kleber Santos, Vinícius Soares, Rohit Gheyi, Alessandro Garcia 0001, Baldoino Fonseca, Márcio Ribeiro 0001, Daniel Oliveira 0005, Caio Barbosa, João Lucas Marques, Anderson Oliveira","Look Ahead! Revealing Complete Composite Refactorings and their Smelliness
                Effects.",ICSME,2021: 298-308,https://doi.org/10.1109/ICSME52107.2021.00033,inproceedings
"Anderson G. Uchôa, Caio Barbosa, Daniel Coutinho, Willian Nalepa Oizumi, Wesley K. G. Assunção, Silvia Regina Vergilio, Juliana Alves Pereira, Anderson Oliveira, Alessandro F. Garcia 0001","Predicting Design Impactful Changes in Modern Code Review: A Large-Scale
                Empirical Study.",MSR,2021: 471-482,https://doi.org/10.1109/MSR52588.2021.00059,inproceedings
"Luciano Marchezan, Wesley Klewerton Guez Assunção, João Carbonell, Elder Rodrigues 0001, Maicon Bernardino, Fábio Basso",SPLReePlan - Automated Support for Software Product Line Reengineering Planning.,SBCARS,2021: 1-10,https://doi.org/10.1145/3483899.3483902,inproceedings
"Anderson G. Uchôa, Wesley Klewerton Guez Assunção, Alessandro F. Garcia 0001","Do Critical Components Smell Bad? An Empirical Study with Component-based
                Software Product Lines.",SBCARS,2021: 21-30,https://doi.org/10.1145/3483899.3483907,inproceedings
"Thelma Elita Colanzi, Aline Maria Malachini Miotto Amaral, Wesley K. G. Assunção, Arthur Cattaneo Zavadski, Douglas Tanno, Alessandro F. Garcia 0001, Carlos Lucena","Are we speaking the industry language? The practice and literature of modernizing
                legacy systems with microservices.",SBCARS,2021: 61-70,https://doi.org/10.1145/3483899.3483904,inproceedings
"Daniele Wolfart, Wesley Klewerton Guez Assunção, Jabier Martinez","Variability Debt: Characterization, Causes and Consequences.",SBQS,2021: 17,https://doi.org/10.1145/3493244.3493250,inproceedings
"Gabriela Karoline Michelon, David Obermann, Wesley K. G. Assunção, Lukas Linsbauer, Paul Grünbacher, Alexander Egyed","Managing systems evolving in space and time: four challenges for maintenance,
                evolution and composition of variants.",SPLC (A),2021: 75-80,https://doi.org/10.1145/3461001.3461660,inproceedings
"Gabriela Karoline Michelon, Bruno Sotto-Mayor, Jabier Martinez, Aitor Arrieta, Rui Abreu 0001, Wesley K. G. Assunção",Spectrum-based feature localization: a case study using ArgoUML.,SPLC (A),2021: 126-130,https://doi.org/10.1145/3461001.3473065,inproceedings
"Wesley K. G. Assunção, Inmaculada Ayala, Jacob Krüger, Sébastien Mosser 0001","International Workshop on Variability Management for Modern Technologies
                (VM4ModernTech 2021).",SPLC (A),2021: 202,https://doi.org/10.1145/3461001.3475157,inproceedings
